0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,class
-0.28240216,0.26696733,0.06520761,-0.028991135,-0.0070232893,-0.77142715,0.23227301,1.2078706,-0.59122014,-0.3098253,-0.34131444,-0.7252819,-0.18869463,0.29750207,0.19611228,-0.6919424,0.13107912,-0.620287,0.0011520217,-1.1898842,0.08141613,0.045484845,0.4023343,-0.3929695,0.02517057,-0.17220946,-0.22666122,-0.12078788,-0.5867206,-0.0911647,0.85718584,0.01348211,0.267999,-0.44995326,-0.09065222,0.61703086,-0.020922314,-0.30164042,-0.14067988,-0.90868396,0.015332379,-0.38440782,-0.32914123,0.13900459,0.2902309,-0.40993157,-0.2981409,0.0929262,0.33480322,0.21230759,0.23872183,-0.3847984,0.20026116,-0.015259192,0.027987292,0.22488227,0.13721971,0.043416835,-0.5351212,0.21802658,0.25096643,-0.035167515,0.34209657,0.1114251,-0.72289795,0.5363224,-0.038454246,0.5095514,-0.92970353,0.5572037,-0.15686248,0.63647044,0.63510054,0.066313975,0.7491553,0.31739974,0.055483818,-0.07989542,-0.32748806,0.000374434,-0.39698482,-0.059736546,-0.54291457,0.79396576,-0.35418743,-0.040217966,0.20652874,0.4809362,0.57088953,0.3586437,0.6613639,0.042315807,0.3105362,0.16204053,0.9593283,0.44075698,0.25453028,-0.36988,0.14521192,-0.11629717,1
-0.2910882,0.25467777,0.06486554,-0.057217415,-0.062240962,-0.7776113,0.2506593,1.2737712,-0.5432952,-0.39492872,-0.32695514,-0.8404411,-0.20223325,0.3639331,0.2024129,-0.6563493,0.1241903,-0.6911528,0.026502745,-1.2633398,0.08548271,0.15063292,0.41841906,-0.38066146,-0.0031300164,-0.12555222,-0.25463197,-0.1870951,-0.620207,-0.02746297,0.8756443,-0.063905284,0.33243033,-0.5756002,-0.18997478,0.6600171,-0.021140276,-0.3129279,-0.14894158,-0.994276,0.039333086,-0.41803208,-0.46469176,0.077771515,0.3600181,-0.42108572,-0.28824756,0.06825871,0.35624185,0.23507491,0.14726317,-0.5131832,0.18944034,-0.029231153,0.12277425,0.26469684,0.18562526,-0.007985649,-0.5776829,0.23834895,0.20975657,-0.07037545,0.351059,0.08767971,-0.7618442,0.60153836,-0.08405348,0.5728316,-0.99907416,0.63005435,-0.05780193,0.7381448,0.75539744,0.026217353,0.77658427,0.3014898,0.052483417,-0.13361198,-0.3395498,-0.053417347,-0.3486707,-0.15237683,-0.47049484,0.81821764,-0.2576314,-0.10436148,0.19953647,0.49905652,0.5685865,0.36570027,0.72802675,0.054724537,0.3354848,0.092123695,0.9273536,0.55029386,0.22826642,-0.34410617,0.21356879,-0.058613095,2
-0.26136175,0.25442517,0.06823043,-0.053486343,-0.033277825,-0.68974835,0.21341637,1.1086891,-0.5071551,-0.32776827,-0.3024905,-0.72396094,-0.18246347,0.28684372,0.19352104,-0.5939281,0.11639701,-0.5911695,0.020054704,-1.1028125,0.0835613,0.099688806,0.4043479,-0.3576212,0.019854372,-0.11595646,-0.22895503,-0.14798722,-0.5401221,-0.032688595,0.78589994,-0.022628129,0.2769543,-0.48842427,-0.1458857,0.58686376,-0.017062329,-0.26159558,-0.12953673,-0.862965,0.030044395,-0.36496037,-0.3756291,0.09605472,0.3040692,-0.36330953,-0.25922644,0.05856151,0.29877037,0.18499947,0.17898016,-0.4127861,0.17055653,-0.025353892,0.053839624,0.21956417,0.12818214,0.0062049273,-0.5257604,0.19394937,0.20874126,-0.048847783,0.29909047,0.091566235,-0.65576136,0.52277154,-0.035326555,0.48473445,-0.8696407,0.54416865,-0.11577748,0.6388445,0.6519478,0.0671828,0.6979417,0.2677873,0.034796994,-0.09470592,-0.30262518,-0.010916287,-0.30999565,-0.12202714,-0.44073775,0.722203,-0.26038685,-0.09036936,0.20169212,0.4476822,0.49555588,0.30160478,0.6505068,0.0657889,0.28009632,0.09149016,0.8507035,0.4696835,0.22189869,-0.30445096,0.15846379,-0.07723493,1
-0.28611267,0.39108303,0.12817156,-0.073135555,-0.0019989037,-0.8152127,0.2673182,1.3401394,-0.70326024,-0.38748923,-0.39488718,-0.883971,-0.17350209,0.25270888,0.2589357,-0.71096915,0.16469517,-0.6310802,0.042313173,-1.3479404,0.12728012,0.08505873,0.5624232,-0.46420956,0.08728292,-0.12369869,-0.29614797,-0.19061139,-0.625163,-0.024668425,0.9338768,0.058030605,0.32678318,-0.5526399,-0.11616373,0.7336166,-0.021754855,-0.3431952,-0.15840691,-1.0275774,0.05312186,-0.4279375,-0.4516985,0.18971847,0.3707249,-0.43290415,-0.26957962,0.026392253,0.29170996,0.15380871,0.26978725,-0.478417,0.12116239,-0.051665466,-0.01508034,0.21142322,0.05324912,-0.031991314,-0.6125253,0.25576058,0.31151673,-0.022516724,0.36822987,0.144039,-0.7842475,0.6202192,0.05582856,0.5729191,-1.0195183,0.6737099,-0.26044187,0.75922835,0.7705974,0.14880513,0.8600727,0.33252203,0.01565767,-0.150473,-0.40203178,0.104165226,-0.29052302,-0.15742445,-0.5455496,0.84640104,-0.3483527,-0.11681771,0.29374605,0.53921336,0.58588934,0.28020787,0.8373329,0.13249673,0.31934723,0.13160075,1.1237018,0.5245085,0.33853194,-0.35690346,0.16575341,-0.15237029,1
-0.24573448,0.3063237,0.10182595,-0.07176124,-0.020644562,-0.6993756,0.2155148,1.1467813,-0.55363375,-0.33926895,-0.33087167,-0.7607894,-0.16596843,0.2361108,0.21477298,-0.6058998,0.13336554,-0.5693768,0.0417054,-1.1572759,0.10442618,0.10010048,0.45243484,-0.38093564,0.06178665,-0.09311028,-0.2575395,-0.18073793,-0.54629594,-0.011266608,0.79524857,0.022142539,0.287548,-0.5091255,-0.122922465,0.6195109,-0.026076881,-0.2908805,-0.1340695,-0.89445794,0.03636099,-0.37109557,-0.41068536,0.1335204,0.31747058,-0.39183834,-0.23889881,0.023819067,0.2711191,0.15512128,0.1974285,-0.43892655,0.11587348,-0.027119977,0.023236996,0.1949151,0.075401634,-0.041110177,-0.54020065,0.22033434,0.2493647,-0.0374265,0.31550765,0.114288405,-0.67676276,0.546376,0.005208656,0.50009036,-0.88793755,0.5670898,-0.17799178,0.67981017,0.6657862,0.09308574,0.7428778,0.28141746,0.018239655,-0.12493406,-0.32856822,0.04963767,-0.25165048,-0.13618875,-0.4419921,0.74344504,-0.271469,-0.10747886,0.23189488,0.47136566,0.49025533,0.26019198,0.71518785,0.09809388,0.2897002,0.09329504,0.92015475,0.47164226,0.2507285,-0.29424286,0.14915815,-0.102090076,1
-0.2871286,0.34189227,0.08079893,-0.016726658,0.065495156,-0.805085,0.2436752,1.2176572,-0.7026572,-0.2649524,-0.37179163,-0.7065627,-0.18058357,0.23749803,0.2403549,-0.7612948,0.15798251,-0.57528746,-0.03300388,-1.223709,0.07812044,-0.03220831,0.47246322,-0.4494652,0.09013565,-0.22126548,-0.21608481,-0.07675102,-0.5878659,-0.13917412,0.9204335,0.079725005,0.23634176,-0.38489673,-0.016524596,0.65297294,0.0051842774,-0.30164635,-0.12103228,-0.8935126,0.009398519,-0.38728917,-0.24598783,0.22971816,0.2618677,-0.39408222,-0.33918217,0.113922484,0.30141267,0.17844102,0.37900755,-0.29703182,0.19277193,-0.01958784,-0.10038285,0.20392454,0.09767863,0.106972344,-0.54645956,0.21304563,0.3112919,-0.0002371427,0.3590946,0.15542968,-0.72139597,0.5292553,0.030440012,0.47182077,-0.95818824,0.5568932,-0.3139271,0.6148848,0.6137332,0.1706779,0.7809609,0.329727,0.03720654,-0.040092867,-0.36581576,0.09024765,-0.4538028,-0.02245134,-0.65494657,0.8052111,-0.4745847,-0.0029300048,0.2622828,0.4911112,0.6047292,0.34180814,0.6555636,0.098953664,0.2810029,0.22894667,1.0929868,0.38558084,0.3226566,-0.41213837,0.07096736,-0.19268334,0
-0.22228312,0.23352358,0.072284065,-0.0025111781,-0.004121825,-0.6104197,0.19510837,0.93714863,-0.515092,-0.22371101,-0.29769582,-0.55509573,-0.15000677,0.21374765,0.14696676,-0.533874,0.08884806,-0.4712047,0.010589994,-0.9062466,0.09406806,0.002119827,0.3251511,-0.32145503,0.008435198,-0.1551872,-0.19704401,-0.071534395,-0.43929937,-0.082104936,0.67528355,0.06194997,0.18626198,-0.3082692,-0.048245173,0.47369263,-0.0019638075,-0.2070476,-0.13260001,-0.68332154,0.016541604,-0.29614818,-0.19423258,0.12572592,0.20683093,-0.294755,-0.18398578,0.06908207,0.25934926,0.16254823,0.20863828,-0.24143147,0.18403104,-0.025407424,0.013046633,0.16912013,0.081602044,0.06296318,-0.40752017,0.1661729,0.20923582,0.0035506422,0.2351174,0.073769554,-0.54723525,0.3732561,0.018601015,0.3877596,-0.6734622,0.39882776,-0.14655906,0.4156175,0.49281073,0.083407834,0.54730827,0.2704259,0.04903629,-0.06301376,-0.22826937,0.026595782,-0.30239335,-0.0099870935,-0.4402698,0.60155433,-0.28447476,-0.03798296,0.17386752,0.38402927,0.47998586,0.27974316,0.5271562,0.01445587,0.24675801,0.12981069,0.77747667,0.3193218,0.2087182,-0.2999475,0.13677162,-0.099376604,0
-0.22463661,0.24601775,0.070285246,-0.024719464,-0.00652299,-0.5987235,0.19361104,0.95152,-0.49326962,-0.2555985,-0.28881449,-0.5977425,-0.15526351,0.22837378,0.16287056,-0.51798654,0.101322174,-0.47634697,0.016914507,-0.931755,0.086918235,0.03933169,0.35799414,-0.32077125,0.021113757,-0.13251013,-0.2009386,-0.09743507,-0.4479341,-0.049132273,0.682194,0.028729098,0.21462226,-0.3633881,-0.07933127,0.5003215,-0.000336682,-0.21504661,-0.12122019,-0.71003944,0.026291512,-0.3083254,-0.25870767,0.11990646,0.23730205,-0.28945446,-0.19792494,0.051602088,0.25028273,0.15207048,0.19572179,-0.2932011,0.156959,-0.028055618,0.014395633,0.17411783,0.088918895,0.039939318,-0.428554,0.16621563,0.19921769,-0.01374363,0.23987208,0.07579216,-0.54963934,0.41170543,0.012932112,0.4026499,-0.7095725,0.4419296,-0.151165,0.47600362,0.5356026,0.092308134,0.57239234,0.24886721,0.028885067,-0.071855836,-0.2494604,0.022751508,-0.27998587,-0.06413579,-0.41338035,0.60186046,-0.25882316,-0.06285552,0.1837675,0.38566288,0.45818236,0.25625303,0.5479515,0.04315657,0.22982956,0.09920999,0.7719872,0.35846,0.2097357,-0.28444296,0.13610603,-0.089410424,0
-0.12020272,0.11325139,0.03053567,-0.013951074,-0.016431924,-0.3226314,0.102540284,0.5138738,-0.2416831,-0.14341056,-0.14580266,-0.32396114,-0.08371991,0.1379656,0.08141195,-0.2784792,0.048101522,-0.2767969,0.0066301837,-0.50398463,0.042201217,0.040030465,0.17175388,-0.1600772,0.0013122353,-0.06478294,-0.10486508,-0.059760142,-0.24611534,-0.022286478,0.35982892,-0.0042429217,0.12483034,-0.21304251,-0.057335462,0.26283512,-0.0065193437,-0.12129979,-0.06544894,-0.3915643,0.010452192,-0.16564848,-0.1548041,0.04303679,0.12933362,-0.16621827,-0.112394124,0.030556574,0.14527747,0.095855795,0.08053376,-0.17549519,0.085116684,-0.011780499,0.03531498,0.10305879,0.064917885,0.013622131,-0.23126371,0.0940138,0.093721904,-0.01773794,0.13536298,0.036738794,-0.3032532,0.23032449,-0.018243905,0.22269277,-0.389009,0.23958212,-0.0452079,0.26948002,0.29058605,0.021317324,0.30647558,0.12907457,0.024284463,-0.04430927,-0.13072649,-0.009273541,-0.15219869,-0.03849035,-0.21120888,0.3312118,-0.12494089,-0.032653365,0.087963045,0.20704485,0.24700038,0.15355027,0.28989846,0.01532728,0.13403754,0.046219457,0.39264968,0.20580776,0.09919012,-0.15167779,0.080865405,-0.033651564,0
-0.31547436,0.32804963,0.07385374,-0.14375146,-0.055595294,-0.8175898,0.286117,1.3968152,-0.5489452,-0.50576633,-0.3145205,-1.0393914,-0.20756775,0.414563,0.28154618,-0.67421114,0.15868974,-0.77010536,0.04857066,-1.4466908,0.08030071,0.2673116,0.546215,-0.42460528,0.031859767,-0.094340175,-0.28075382,-0.27681848,-0.6860434,0.054616377,0.99665624,-0.1500364,0.42995918,-0.7804021,-0.3046486,0.7735872,-0.021364896,-0.35461336,-0.12713939,-1.1504833,0.07876695,-0.48693094,-0.660221,0.0636963,0.48152363,-0.4275731,-0.33206445,0.029945688,0.34939158,0.22528315,0.15499604,-0.6748838,0.13030325,-0.059490167,0.14799044,0.29306996,0.21594667,-0.05641414,-0.69288164,0.2480116,0.20185918,-0.1173462,0.3921304,0.10141793,-0.8366096,0.7494242,-0.10555517,0.6257276,-1.1903625,0.7866478,-0.09157584,0.95649666,0.9510832,0.065955155,0.88578033,0.26036027,9.881976e-05,-0.17164153,-0.44036576,-0.048045907,-0.30607983,-0.31162456,-0.45268133,0.8935856,-0.20552288,-0.18505564,0.24920444,0.55420804,0.55691344,0.33666947,0.85756683,0.1551619,0.33600023,0.021573018,1.0204606,0.69446623,0.2605156,-0.33020714,0.24024703,-0.05773844,2
